STATION NAME,DATE,DX32,DX90,EMNT,EMSN,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN
TROY LOCK AND DAM NY,1956-07,,,,0,,0.78,0,,,
TROY LOCK AND DAM NY,1956-09,0,0,35,0,88,5.05,0,59.8,70.1,49.4
TROY LOCK AND DAM NY,1956-11,2,0,15,,80,2.44,,42.2,51.6,32.6
TROY LOCK AND DAM NY,1956-12,4,0,5,,55,2.28,,32.3,39.5,25.2
TROY LOCK AND DAM NY,1957-01,18,0,-20,2,58,0.82,12.8,17.2,28.8,5.7
TROY LOCK AND DAM NY,1957-03,3,0,14,,63,1.51,,35.8,44.5,27.1
TROY LOCK AND DAM NY,1957-04,0,0,27,3,88,2.1,4.5,49.7,59.9,39.5
TROY LOCK AND DAM NY,1957-06,,,43,0,,3.13,0,,,60.3
TROY LOCK AND DAM NY,1957-09,0,0,33,0,87,3.21,0,63.1,75.4,50.7
TROY LOCK AND DAM NY,1957-10,0,0,29,0,75,2.43,0,50.7,61.4,40
TROY LOCK AND DAM NY,1958-04,0,0,28,,80,3.04,,49,59.1,38.9
TROY LOCK AND DAM NY,1958-05,0,0,32,0,79,2.18,0,54.2,64.6,43.8
TROY LOCK AND DAM NY,1958-06,0,0,38,0,85,2.2,0,62.3,72.7,51.8
TROY LOCK AND DAM NY,1958-07,0,2,50,0,94,5.75,0,72.1,82.2,61.9
TROY LOCK AND DAM NY,1958-08,0,1,50,0,91,1.88,0,69.8,81.4,58.1
TROY LOCK AND DAM NY,1958-10,0,0,27,0,81,3.74,0,49.4,59.8,39.1
TROY LOCK AND DAM NY,1958-11,1,0,10,,63,3.45,,41.3,49.6,33
TROY LOCK AND DAM NY,1959-01,16,0,-2,4,61,2.92,8.2,21,30.9,11.1
TROY LOCK AND DAM NY,1959-02,15,0,-13,4.5,44,1.72,8.9,19.3,31.5,7.1
TROY LOCK AND DAM NY,1959-03,6,0,8,11,63,2.58,21.6,31.9,41.8,22.1
TROY LOCK AND DAM NY,1959-04,0,0,24,0,75,2.53,0,47.7,58.1,37.2
TROY LOCK AND DAM NY,1959-05,0,0,34,0,88,1.94,0,60.1,71.8,48.5
TROY LOCK AND DAM NY,1959-06,0,2,47,0,93,2.44,0,67.1,76.7,57.5
TROY LOCK AND DAM NY,1959-07,0,7,54,0,96,2.3,0,74.5,85.5,63.5
TROY LOCK AND DAM NY,1959-09,0,2,35,0,94,1.87,0,66.3,78.1,54.6
TROY LOCK AND DAM NY,1959-10,0,0,23,0,83,3.98,0,53,62.5,43.5
TROY LOCK AND DAM NY,1960-02,10,0,8,,56,2.58,,28.4,36.7,20.1
TROY LOCK AND DAM NY,1960-03,12,0,1,8,58,1.69,12.1,26.7,35.5,17.9
TROY LOCK AND DAM NY,1960-05,0,0,28,0,86,2.63,0,60.4,71.7,49
TROY LOCK AND DAM NY,1960-06,0,1,43,0,90,4.26,0,67.5,78.7,56.3
TROY LOCK AND DAM NY,1960-07,0,1,46,0,91,8.12,0,69.5,80.9,58.2
TROY LOCK AND DAM NY,1960-08,0,2,45,0,93,2.92,0,69.7,81.3,58.1
TROY LOCK AND DAM NY,1960-09,0,0,44,0,89,8.64,0,63.1,73.7,52.5
TROY LOCK AND DAM NY,1960-10,0,0,28,0,78,1.8,0,50.2,62.3,38.2
TROY LOCK AND DAM NY,1960-11,0,0,22,0,60,1.35,0,43.1,52.6,33.6
TROY LOCK AND DAM NY,1960-12,16,0,-4,3,54,0.95,12,22.7,32.7,12.7
TROY LOCK AND DAM NY,1961-01,23,0,-14,9,48,1.99,16.2,16.2,27.8,4.7
TROY LOCK AND DAM NY,1961-04,0,0,26,0,69,2.7,0,43.9,51.7,36
TROY LOCK AND DAM NY,1961-06,0,1,41,0,91,3.48,0,67.1,78,56.2
TROY LOCK AND DAM NY,1961-08,0,1,46,0,90,4.51,0,70.2,80.7,59.8
TROY LOCK AND DAM NY,1961-09,0,5,38,0,93,2.5,0,69.6,81.2,58.1
TROY LOCK AND DAM NY,1961-10,0,0,29,0,79,1.65,0,53.7,65.3,42.2
TROY LOCK AND DAM NY,1961-12,10,0,3,7,52,1.78,14.5,28.6,35.8,21.4
TROY LOCK AND DAM NY,1962-02,17,0,-10,12,48,2.5,29.8,19.9,29.9,9.8
TROY LOCK AND DAM NY,1962-03,4,0,0,0.1,76,0.52,0.1,34,44.1,24
TROY LOCK AND DAM NY,1962-04,0,0,23,1.5,88,4.34,1.5,47.6,57.8,37.4
TROY LOCK AND DAM NY,1962-05,0,2,34,0,93,1.13,0,59.4,70.7,48.2
TROY LOCK AND DAM NY,1962-08,0,0,48,0,89,2.72,0,69.6,80.4,58.7
TROY LOCK AND DAM NY,1963-01,17,0,-13,11,47,2.15,21.5,19.8,28.8,10.8
TROY LOCK AND DAM NY,1963-02,19,0,-12,5.5,45,1.4,12.6,16.3,28.6,4
TROY LOCK AND DAM NY,1963-04,0,0,26,0,70,0.98,0,45.8,57.4,34.1
TROY LOCK AND DAM NY,1963-05,0,0,32,0,81,2.63,0,56.2,67.5,44.9
TROY LOCK AND DAM NY,1963-06,0,3,48,0,92,3.18,0,67.5,78.3,56.7
TROY LOCK AND DAM NY,1963-07,0,9,45,0,97,1.98,0,73.1,84.4,61.9
TROY LOCK AND DAM NY,1963-08,0,0,47,0,86,3.28,0,66.9,78,55.8
TROY LOCK AND DAM NY,1963-10,0,0,33,0,89,0.45,0,56,70.1,41.9
TROY LOCK AND DAM NY,1963-12,20,0,-11,7,52,1.57,20,20.7,29.2,12.2
TROY LOCK AND DAM NY,1964-01,10,0,-12,13,54,3.26,20.5,24.4,35.7,13
TROY LOCK AND DAM NY,1964-02,13,0,-2,6.5,44,1.01,20.4,23.1,33.3,12.8
TROY LOCK AND DAM NY,1964-04,0,0,17,0,73,2.35,0,45.6,55.9,35.3
TROY LOCK AND DAM NY,1964-05,0,2,36,0,92,1.56,0,61.3,74.1,48.6
TROY LOCK AND DAM NY,1964-06,0,2,40,0,93,0.79,0,65.8,78.5,53.2
TROY LOCK AND DAM NY,1964-07,0,11,50,0,96,1.1,0,74.7,86.3,63.2
TROY LOCK AND DAM NY,1964-08,0,1,47,0,90,1.91,0,66.1,78.5,53.7
TROY LOCK AND DAM NY,1964-10,0,0,24,0,79,0.59,0,49.9,62.1,37.7
TROY LOCK AND DAM NY,1964-11,0,0,20,0,69,1.36,0,43,52.8,33.2
TROY LOCK AND DAM NY,1965-01,16,0,-8,8.5,49,1.46,16.5,20.3,29.9,10.7
TROY LOCK AND DAM NY,1965-02,14,0,-4,1,52,1.62,2.9,22.6,32.3,12.9
TROY LOCK AND DAM NY,1965-03,4,0,11,4,56,1.23,8,32.5,41.2,23.8
TROY LOCK AND DAM NY,1965-04,0,0,15,,65,2.54,,42.4,52.8,32
TROY LOCK AND DAM NY,1965-05,0,0,39,0,88,1.32,0,61.4,74.3,48.6
TROY LOCK AND DAM NY,1965-06,0,3,41,0,93,2.78,0,66.5,78,55.1
TROY LOCK AND DAM NY,1965-08,0,5,40,0,93,4.45,0,70.9,81.4,60.3
TROY LOCK AND DAM NY,1965-10,0,0,26,0,79,2.51,0,50,60.4,39.6
TROY LOCK AND DAM NY,1965-11,0,0,22,0,66,2.28,0,39,46.9,31.1
TROY LOCK AND DAM NY,1965-12,5,0,7,1.3,51,1.06,2.8,31.7,37.8,25.6
